iter	Passed	Remaining
0	10	10983
1	23	11829
2	36	12170
3	49	12267
4	60	12054
5	74	12271
6	86	12278
7	98	12265
8	112	12382
9	125	12377
10	138	12454
11	151	12453
12	164	12486
13	178	12547
14	190	12491
15	204	12600
16	218	12660
17	232	12661
18	245	12682
19	257	12600
20	269	12580
21	282	12564
22	296	12579
23	309	12589
24	323	12597
25	337	12634
26	349	12606
27	362	12569
28	374	12538
29	387	12539
30	400	12524
31	414	12526
32	428	12550
33	441	12544
34	453	12509
35	467	12530
36	480	12503
37	493	12497
38	507	12497
39	520	12492
40	533	12469
41	546	12460
42	559	12457
43	573	12458
44	586	12437
45	599	12431
46	613	12438
47	625	12413
48	640	12423
49	653	12419
50	667	12420
51	681	12429
52	694	12412
53	707	12393
54	718	12352
55	732	12350
56	744	12315
57	758	12318
58	770	12290
59	784	12293
60	798	12291
61	811	12270
62	825	12271
63	839	12271
64	852	12257
65	865	12251
66	879	12251
67	892	12238
68	905	12213
69	918	12205
70	932	12197
71	946	12197
72	960	12190
73	973	12177
74	986	12168
75	1000	12159
76	1014	12155
77	1027	12149
78	1042	12148
79	1056	12146
80	1069	12139
81	1081	12112
82	1095	12099
83	1108	12091
84	1122	12078
85	1135	12066
86	1149	12058
87	1162	12048
88	1176	12043
89	1190	12035
90	1204	12028
91	1216	12004
92	1230	11999
93	1244	11998
94	1258	11986
95	1272	11986
96	1285	11969
97	1299	11964
98	1313	11953
99	1327	11943
100	1341	11937
101	1355	11930
102	1367	11911
103	1381	11905
104	1395	11896
105	1409	11886
106	1423	11878
107	1437	11870
108	1451	11862
109	1464	11851
110	1478	11837
111	1491	11824
112	1504	11810
113	1518	11803
114	1532	11796
115	1547	11789
116	1560	11777
117	1573	11764
118	1587	11754
119	1601	11745
120	1615	11734
121	1627	11715
122	1641	11704
123	1655	11694
124	1669	11684
125	1682	11671
126	1696	11658
127	1709	11648
128	1723	11635
129	1736	11623
130	1751	11616
131	1764	11603
132	1778	11594
133	1792	11582
134	1806	11572
135	1819	11562
136	1834	11553
137	1847	11542
138	1861	11532
139	1875	11523
140	1889	11509
141	1902	11498
142	1916	11486
143	1930	11477
144	1944	11467
145	1958	11455
146	1972	11446
147	1986	11434
148	1997	11409
149	2011	11398
150	2024	11381
151	2037	11365
152	2050	11352
153	2063	11337
154	2078	11329
155	2092	11318
156	2106	11308
157	2119	11293
158	2132	11281
159	2146	11268
160	2159	11252
161	2173	11241
162	2186	11229
163	2200	11217
164	2214	11204
165	2228	11193
166	2241	11180
167	2255	11169
168	2269	11157
169	2283	11146
170	2296	11134
171	2310	11123
172	2324	11111
173	2338	11100
174	2352	11089
175	2365	11076
176	2379	11063
177	2392	11050
178	2406	11037
179	2420	11025
180	2434	11014
181	2448	11005
182	2461	10987
183	2474	10972
184	2487	10956
185	2500	10944
186	2514	10931
187	2528	10919
188	2541	10907
189	2555	10893
190	2568	10879
191	2582	10866
192	2595	10854
193	2609	10842
194	2623	10830
195	2636	10814
196	2650	10803
197	2664	10791
198	2678	10781
199	2692	10770
200	2707	10760
201	2720	10748
202	2734	10736
203	2748	10725
204	2762	10712
205	2776	10700
206	2789	10687
207	2803	10674
208	2817	10661
209	2831	10650
210	2844	10636
211	2858	10625
212	2872	10613
213	2886	10602
214	2900	10589
215	2913	10575
216	2928	10565
217	2941	10551
218	2955	10539
219	2969	10526
220	2982	10513
221	2996	10500
222	3010	10488
223	3023	10475
224	3036	10459
225	3050	10446
226	3063	10433
227	3077	10421
228	3091	10409
229	3105	10396
230	3119	10384
231	3133	10372
232	3147	10359
233	3161	10347
234	3174	10335
235	3188	10323
236	3202	10310
237	3216	10298
238	3230	10286
239	3243	10272
240	3257	10257
241	3271	10246
242	3285	10234
243	3298	10221
244	3312	10207
245	3326	10196
246	3341	10185
247	3354	10171
248	3368	10158
249	3382	10146
250	3395	10133
251	3409	10119
252	3422	10106
253	3436	10093
254	3450	10080
255	3464	10068
256	3478	10055
257	3492	10044
258	3504	10027
259	3518	10014
260	3532	10000
261	3545	9988
262	3560	9976
263	3574	9964
264	3588	9952
265	3602	9939
266	3615	9926
267	3629	9914
268	3644	9902
269	3657	9888
270	3671	9876
271	3685	9863
272	3699	9852
273	3713	9838
274	3726	9824
275	3740	9811
276	3754	9798
277	3767	9784
278	3781	9772
279	3795	9759
280	3809	9747
281	3822	9733
282	3837	9722
283	3851	9709
284	3864	9696
285	3878	9682
286	3892	9669
287	3906	9656
288	3919	9643
289	3932	9627
290	3946	9614
291	3959	9601
292	3974	9589
293	3988	9576
294	4001	9562
295	4014	9548
296	4028	9534
297	4040	9519
298	4055	9507
299	4069	9494
300	4082	9481
301	4096	9467
302	4110	9454
303	4124	9443
304	4138	9430
305	4152	9416
306	4165	9403
307	4178	9387
308	4191	9374
309	4206	9361
310	4219	9348
311	4233	9336
312	4247	9322
313	4261	9309
314	4274	9296
315	4288	9283
316	4303	9271
317	4317	9258
318	4330	9245
319	4345	9233
320	4359	9220
321	4373	9207
322	4387	9195
323	4400	9180
324	4414	9167
325	4427	9154
326	4441	9141
327	4456	9130
328	4470	9117
329	4484	9104
330	4498	9091
331	4511	9078
332	4525	9064
333	4540	9052
334	4553	9039
335	4567	9026
336	4581	9013
337	4595	9000
338	4609	8987
339	4623	8974
340	4636	8961
341	4650	8947
342	4664	8935
343	4678	8922
344	4693	8910
345	4707	8897
346	4720	8883
347	4734	8870
348	4747	8856
349	4761	8841
350	4775	8829
351	4788	8815
352	4802	8802
353	4816	8789
354	4829	8774
355	4843	8761
356	4857	8748
357	4871	8735
358	4885	8723
359	4899	8710
360	4913	8697
361	4927	8683
362	4941	8670
363	4955	8657
364	4969	8644
365	4983	8631
366	4996	8617
367	5009	8603
368	5023	8590
369	5037	8577
370	5050	8563
371	5064	8550
372	5078	8536
373	5092	8523
374	5106	8510
375	5120	8497
376	5134	8484
377	5148	8472
378	5162	8459
379	5176	8445
380	5190	8432
381	5204	8419
382	5218	8406
383	5232	8393
384	5246	8380
385	5260	8367
386	5273	8353
387	5287	8340
388	5301	8327
389	5314	8313
390	5328	8300
391	5342	8287
392	5356	8272
393	5369	8259
394	5383	8246
395	5397	8232
396	5411	8219
397	5425	8206
398	5439	8193
399	5452	8179
400	5466	8166
401	5480	8153
402	5495	8140
403	5508	8126
404	5522	8113
405	5536	8099
406	5549	8085
407	5563	8071
408	5576	8058
409	5590	8045
410	5604	8032
411	5619	8019
412	5632	8005
413	5645	7990
414	5658	7977
415	5672	7963
416	5686	7950
417	5701	7938
418	5714	7924
419	5728	7910
420	5742	7898
421	5756	7884
422	5770	7871
423	5783	7857
424	5797	7843
425	5811	7830
426	5825	7817
427	5839	7803
428	5853	7790
429	5867	7777
430	5881	7764
431	5894	7750
432	5908	7737
433	5922	7724
434	5936	7710
435	5950	7697
436	5964	7684
437	5978	7670
438	5991	7656
439	6005	7642
440	6018	7628
441	6031	7615
442	6045	7601
443	6060	7588
444	6074	7575
445	6087	7562
446	6101	7548
447	6114	7534
448	6128	7520
449	6142	7507
450	6155	7493
451	6169	7479
452	6183	7466
453	6195	7451
454	6209	7438
455	6223	7424
456	6237	7411
457	6251	7397
458	6264	7384
459	6278	7369
460	6292	7356
461	6305	7343
462	6319	7329
463	6333	7316
464	6347	7302
465	6361	7289
466	6375	7276
467	6389	7262
468	6403	7249
469	6416	7235
470	6430	7221
471	6443	7208
472	6457	7194
473	6471	7181
474	6485	7168
475	6498	7153
476	6512	7140
477	6526	7127
478	6540	7113
479	6553	7099
480	6567	7086
481	6581	7072
482	6595	7059
483	6609	7046
484	6623	7032
485	6637	7019
486	6650	7005
487	6664	6992
488	6678	6978
489	6691	6965
490	6705	6951
491	6720	6938
492	6734	6925
493	6747	6911
494	6761	6898
495	6775	6885
496	6789	6871
497	6803	6857
498	6816	6844
499	6830	6830
500	6843	6815
501	6857	6802
502	6871	6789
503	6885	6775
504	6898	6762
505	6912	6748
506	6926	6735
507	6940	6721
508	6953	6707
509	6967	6694
510	6981	6680
511	6994	6666
512	7008	6653
513	7022	6640
514	7036	6626
515	7049	6612
516	7063	6598
517	7077	6585
518	7091	6572
